# ── #117 Clara Barton (1821-12-25 – 1912-04-12, American nurse, founder of the American Red Cross; wrote in ENGLISH) corpus ledger ──
#
# columns (TAB separated, 9 of them):
#   short-id <TAB> URL <TAB> title <TAB> year <TAB> where-it-sits <TAB> language <TAB> tier <TAB> flags <TAB> note
#
# ══ HOW THIS LEDGER WAS PRODUCED ══
#   Every URL below was read back out of the '# URL:' header of the .txt that was actually
#   downloaded.  Attempts that failed are in _fetch.log; material that was found and
#   deliberately not taken is in _EXCLUDED.txt.  Nothing here was typed from memory.
#
# ══ TIERS ══
#   P1  text she wrote or signed, in a printing or transcription of that text
#   P2  a degraded carrier of the same text: repeat scan, hand-keyed transcription, later reprint
#   S1  contemporary third party (1860-1915)
#   S2  later study, biography or compilation
#
# ══ THE TIERING DECISION THAT MOVES THE NUMBERS ══
#   Where a volume is overwhelmingly somebody else's and carries only one signed piece of
#   hers (red-cross-1895-doolittle), the FILE is tiered S1, not P1.  Her section is still
#   usable and its exact line range is in _BOUNDARIES.json.  The two big biographies
#   (Epler 1915, W. E. Barton 1922) quote hundreds of her letters verbatim and were still
#   tiered S2, because at document level they are not hers.
#
# ══ RIGHTS ══
#   Published works: she died 1912, so life+70 has long run; every printed item below also
#   carries a title-leaf year of 1930 or earlier, so it is public domain in the US.
#   Unpublished LOC manuscripts: her own papers are public domain under 17 USC 303(a)
#   (unpublished works of an author who died in 1912 entered the public domain 2003-01-01).
#   For the incoming half of a correspondence folder the OTHER writer's death year was
#   checked one by one against Wikidata and is written into column 9; folders whose
#   correspondent could not be dated were NOT taken -- see _EXCLUDED.txt.
#
# ══ WHERE THIS LANDS AGAINST check_corpus_ceiling.py, AND WHAT WAS *NOT* DONE ══
#   208 sources, 135 primary, all 6 lanes.  deep wants 30 primary; there are 135.
#   deep is nonetheless NOT reached, by 0.0010:  135/208 = 0.6490 < 0.65.
#   **The shortfall is a RATIO, not a shortage of her own writing.**  It exists because
#   this harvest also pulled 13 duplicate scans of third-party books (Epler x3,
#   W. E. Barton x5, Young x3, Bacon-Foster x2, Pierce x2, Parkman x2, Pacific-slope x2)
#   into the denominator.
#
#   ★ NOTHING WAS DROPPED TO FIX THIS.  Deleting those rows would put deep green in one
#     command; that is 缩分母, and this project does not accept it.  Every file that was
#     fetched is listed.  Two tiering calls were also left conservative even though
#     flipping either would have crossed 0.65 on its own:
#       - the 17 LOC correspondence folders and 6 speeches-file correspondence folders are
#         S1, not P1, because the measured counts in column 9 show incoming letters dominate;
#       - red-cross-1895-doolittle and womans-work-in-america-1891 are S1, not P1, because
#         at document level they are somebody else's book carrying one signed piece of hers.
#     Six further files were moved DOWN from P1 to S1 after reading them (publisher form
#     contracts, royalty statements, hotel bills) -- that move cost 6 primary and was made
#     anyway.
andersonville-1866	https://archive.org/download/listofunionsoldi00atwa/listofunionsoldi00atwa_djvu.txt	A List of the Union Soldiers Buried at Andersonville. Copied from the Official Record in the Surgeon's Office at Andersonville	1866	New York: Published by the Tribune Association, 154 Nassau Street, 1866（扉页逐字）	en	P1	CO-AUTHORED;FULL-PAGE-SCAN	lane=decisions. ★ 分档理由（写清以便被质疑）：文件级别按「这份文件是谁的工作产物」定档——这是她发起并带队的安德森维尔标墓远征的官方产物，卷内印有她署名的报告（第 250–729 行，末行逐字 'CLARA  BARTON.'）。但全卷三分之二是 Dorence Atwater 的死亡名册，另有他的第一人称自述（第 60–249 行，末行 'DORENCE  ATWATER.'），**那一段绝不可当作她的话**——她从未被俘。边界见 _BOUNDARIES.json。扉页无个人署名，故标 CO-AUTHORED。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1866 早于 1930，美国已入公有领域
diary-1863-apr-2-july-23	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0300/001_0381_0444.txt	Diaries and Journals: 1863, Apr. 2-July 23	1863	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0381_0444/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1863-dec-3-1864-may-7	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0400/001_0445_0520.txt	Diaries and Journals: 1863, Dec. 3-1864, May 7	1863	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0445_0520/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1863-jan-feb	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0300/001_0349_0380.txt	Diaries and Journals: 1863, Jan.-Feb.	1863	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0349_0380/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1864-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0500/001_0521_0641.txt	Diaries and Journals: 1864, Jan.-Dec.	1864	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0521_0641/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1865-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0600/001_0642_0851.txt	Diaries and Journals: 1865, Jan.-Dec.	1865	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0642_0851/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1866-jan-1-13-includes-ledger-accounts-of-may-1864-m	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0800/001_0852_1004.txt	Diaries and Journals: 1866, Jan. 1-13 (includes ledger accounts of May 1864-May 1866)	1864	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0852_1004/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1866-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/0000/002_0008_0208.txt	Diaries and Journals: 1866, Jan.-Dec.	1866	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_0008_0208/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1867-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/0200/002_0209_0417.txt	Diaries and Journals: 1867, Jan.-Dec.	1867	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_0209_0417/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1868-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/0400/002_0419_0636.txt	Diaries and Journals: 1868, Jan.-Dec.	1868	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_0419_0636/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1870-aug-26-29	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/0600/002_0695_0713.txt	Diaries and Journals: 1870, Aug. 26-29	1870	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_0695_0713/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1870-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/0700/002_0714_0828.txt	Diaries and Journals: 1870, Jan.-Dec.	1870	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_0714_0828/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1870-jan-feb-includes-copies-of-letters-jan-apr-1870	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/0600/002_0641_0694.txt	Diaries and Journals: 1870, Jan.-Feb. (includes copies of letters Jan.-Apr. 1870 and Mar. and Dec. 1872)	1870	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_0641_0694/；整卷众包转录全文	en	P1	HIS-OWN	lane=conversations. 她本人的日记，逐日记事，LOC 众包转录。该册标题自述 'includes copies of letters'，内含她发出的书信抄件，故归 conversations 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1871-1874-1881-mar-includes-copies-of-letters-to-lou	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/0800/002_0889_1007.txt	Diaries and Journals: 1871-1874; 1881, Mar. (includes copies of letters to Louise, Grand Duchess of Baden)	1871	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_0889_1007/；整卷众包转录全文	en	P1	HIS-OWN	lane=conversations. 她本人的日记，逐日记事，LOC 众包转录。该册标题自述 'includes copies of letters'，内含她发出的书信抄件，故归 conversations 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1871-feb-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/0800/002_0829_0888.txt	Diaries and Journals: 1871, Feb.-Dec.	1871	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_0829_0888/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1872-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/1000/002_1008_1109.txt	Diaries and Journals: 1872, Jan.-Dec.	1872	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_1008_1109/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1872-july-and-sept-1873-jan	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/1100/002_1111_1122.txt	Diaries and Journals: 1872, July and Sept.; 1873, Jan.	1872	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_1111_1122/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1873-jan-oct	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/1100/002_1123_1179.txt	Diaries and Journals: 1873, Jan.-Oct.	1873	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_1123_1179/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1876-mar-13-apr-10	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/1100/002_1180_1192.txt	Diaries and Journals: 1876, Mar. 13-Apr. 10	1876	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_1180_1192/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1877-jan-1-9-1891-dec-13-1910-nov-24	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/1100/002_1193_1207.txt	Diaries and Journals: 1877, Jan. 1-9; 1891, Dec. 13; 1910, Nov. 24	1877	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_1193_1207/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1878-1880-apr-1882-june-1-18-includes-copies-of-lett	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0200/003_0211_0246.txt	Diaries and Journals: 1878-1880, Apr.; 1882, June 1-18 (includes copies of letters sent Aug.-Nov. 1886)	1878	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0211_0246/；整卷众包转录全文	en	P1	HIS-OWN	lane=conversations. 她本人的日记，逐日记事，LOC 众包转录。该册标题自述 'includes copies of letters'，内含她发出的书信抄件，故归 conversations 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1878-jan-1-21	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/1200/002_1208_1224.txt	Diaries and Journals: 1878, Jan. 1-21	1878	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_1208_1224/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1878-jan-nov	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0000/003_0008_0210.txt	Diaries and Journals: 1878, Jan.-Nov.	1878	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0008_0210/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1881-dec-21-1882-apr-16	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0400/003_0412_0514.txt	Diaries and Journals: 1881, Dec. 21-1882, Apr. 16	1881	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0412_0514/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1881-jan-july	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0200/003_0247_0361.txt	Diaries and Journals: 1881, Jan.-July	1881	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0247_0361/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1881-oct-8-nov-1	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0300/003_0362_0411.txt	Diaries and Journals: 1881, Oct. 8-Nov. 1	1881	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0362_0411/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1883-jan-nov	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0500/003_0515_0720.txt	Diaries and Journals: 1883, Jan.-Nov.	1883	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0515_0720/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1884-mar-26-june-8	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0700/003_0722_0754.txt	Diaries and Journals: 1884, Mar. 26-June 8	1884	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0722_0754/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1885-feb-july	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0700/003_0755_0841.txt	Diaries and Journals: 1885, Feb.-July	1885	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0755_0841/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1885-oct	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0800/003_0842_0849.txt	Diaries and Journals: 1885, Oct.	1885	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0842_0849/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1887-jan-may	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0800/003_0850_0878.txt	Diaries and Journals: 1887, Jan.-May	1887	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0850_0878/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1888-jan-apr	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/003/0800/003_0879_1079.txt	Diaries and Journals: 1888, Jan.-Apr.	1888	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.003_0879_1079/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1889-jan-9-26-includes-addresses-and-notes	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0000/004_0008_0048.txt	Diaries and Journals: 1889, Jan. 9-26 (includes addresses and notes)	1889	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0008_0048/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1892-june-july-1893-jan-may-includes-expense-account	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0000/004_0049_0103.txt	Diaries and Journals: 1892, June-July; 1893, Jan.-May (includes expense accounts of June 1892-Oct. 1895)	1892	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0049_0103/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1893-may-1894-may	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0100/004_0104_0298.txt	Diaries and Journals: 1893, May-1894, May	1893	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0104_0298/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1895-jan-18-21	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0200/004_0299_0303.txt	Diaries and Journals: 1895, Jan. 18-21	1895	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0299_0303/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1896-aug-19-sept-4	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0500/004_0521_0543.txt	Diaries and Journals: 1896, Aug. 19-Sept. 4	1896	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0521_0543/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1896-jan-sept-includes-note-for-sept-2-1895	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0300/004_0304_0520.txt	Diaries and Journals: 1896, Jan.-Sept (includes note for Sept. 2, 1895)	1895	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0304_0520/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1897-may-17-sept-5	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0500/004_0544_0639.txt	Diaries and Journals: 1897, May 17-Sept. 5	1897	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0544_0639/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1897-sept-10-1898-jan-29	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0600/004_0640_0740.txt	Diaries and Journals: 1897, Sept. 10-1898, Jan. 29	1897	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0640_0740/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1898-feb-26-july-1	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0700/004_0741_0878.txt	Diaries and Journals: 1898, Feb. 26-July 1	1898	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0741_0878/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1899-june-1-oct-13	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0800/004_0879_0989.txt	Diaries and Journals: 1899, June 1-Oct. 13	1899	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0879_0989/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1899-nov-11-24-1900-dec-12-1901-mar-31	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/004/0900/004_0990_1056.txt	Diaries and Journals: 1899, Nov. 11-24; 1900, Dec. 12-1901, Mar. 31	1899	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.004_0990_1056/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1901-apr-1902-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/005/0000/005_0008_0240.txt	Diaries and Journals: 1901, Apr.-1902, Dec.	1901	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.005_0008_0240/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1903-mar-12-apr-22	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/005/0200/005_0241_0251.txt	Diaries and Journals: 1903, Mar. 12-Apr. 22	1903	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.005_0241_0251/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
